nom,Énergie_kcal_100g,Lipides_g_100g,AG_saturés_g_100g,Acide_oléique_W9_g_100g,Acide_linoléique_W6_LA_g_100g,Acide_alpha-linolénique_W3_ALA_g_100g,EPA_g_100g,DHA_g_100g,Cholestérol_mg_100g,Glucides_g_100g,Sucres_g_100g,Fibres_g_100g,Protéines_g_100g,Sel_g_100g,Calcium_mg_100g,Cuivre_mg_100g,Fer_mg_100g,Iode_µg_100g,Magnésium_mg_100g,Manganèse_mg_100g,Phosphore_mg_100g,Potassium_mg_100g,Sélénium_µg_100g,Sodium_mg_100g,Zinc_mg_100g,Rétinol_µg_100g,Beta-Carotène_µg_100g,Vitamine_D_µg_100g,Vitamine_E_mg_100g,Vitamine_K1_µg_100g,Vitamine_K2_µg_100g,Vitamine_C_mg_100g,Vitamine_B1_mg_100g,Vitamine_B2_mg_100g,Vitamine_B3_mg_100g,Vitamine_B5_mg_100g,Vitamine_B6_mg_100g,Vitamine_B9_µg_100g,Vitamine_B12_µg_100g
"Double cheeseburger, provenant de fast food",299,"16,7","6,32","6,51","1,08","0,34",0,0,"48,4","21,5",0,1,"15,5","1,15",104,"0,15","1,4",5,"20,2","0,2",161,184,"6,6",461,"2,9",34,0,"0,5","1,35",0,0,"0,9","0,089","0,15","2,99","0,35","0,2","28,9","0,99"
"Dourian, pulpe, cru","147,05","5,33",0,0,0,0,0,0,0,"23,3",0,"3,8","1,47","0,005",6,"0,21","0,43",0,30,"0,33",39,436,0,2,"0,28",0,23,0,0,0,0,"19,7","0,37","0,2","1,07","0,23","0,32",36,0
Dragée amande,"470,4","17,2","1,39",0,0,0,0,0,0,"73,9","71,9",0,5,"0,17",91,"0,37","3,3",0,48,"0,35",165,244,0,67,"0,93",0,0,0,"7,77",0,0,0,"0,1","0,14","0,7",0,"0,05",16,0
"Dulse (Palmaria palmata), séchée ou déshydratée",227,"1,33",0,0,0,0,0,0,0,"22,6",0,28,"17,2","4,15",547,"1,1","34,8",32500,241,"12,1",280,6810,"8,95",1660,"4,17",0,15700,"0,93","3,45",420,0,"83,6","0,37","0,48","4,31","0,4","0,013",92,"9,81"
Eau de coco,"15,2","0,3","0,01","0,01","0,01","0,01","0,01","0,01",0,"3,33","2,48","0,5","0,42","0,051",14,"0,01","0,05",20,"8,3","0,15","7,9",200,20,"20,4","0,05",0,5,"0,25","0,08","0,8",0,"0,5","0,015","0,01","0,1","0,028","0,031",5,0
"Eau de source Cristaline, embouteillée, non gazeuse",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0026","12,4",0,0,0,"2,5",0,0,"0,35",0,"1,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau de source Ogeu, embouteillée, faiblement minéralisée (Ogeu, 64)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau de source, embouteillée (aliment moyen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eau de vie,229,0,0,0,0,0,0,0,0,"0,37",0,0,0,"0,0025","0,5","0,051","0,04","1,1",0,0,5,1,0,1,"0,019",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau de vie de vin, type armagnac, cognac",228,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"0,16",0,0,0,0,0,0,0,0,"0,016",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eau du robinet,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0076","7,13","0,017","0,03",0,"0,99","0,00082",0,"0,73",0,"2,4","0,011",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eau embouteillée de source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,9","0,008","0,023",0,"1,81","0,00089",0,"0,99",10,"2,17","0,011",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eau minérale (aliment moyen),0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0042","19,3","0,0012","0,0017",0,"4,01","0,0091","0,0034","0,58","2,82","5,02","0,0067",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Abatilles, embouteillée, non gazeuse, faiblement minéralisée (Arcachon, 33)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,023","1,9","0,0005","0,01",0,"0,9","0,0001","0,003","0,4",1,10,"0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Aix0les0Bains, embouteillée, non gazeuse, faiblement minéralisée (Aix0les0Bains, 73)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00035","8,23","0,0005","0,001",0,"2,25","0,0001","0,003","0,08",1,"0,44","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Aizac, embouteillée, gazeuse, faiblement minéralisée (Aizac, 07)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00033","8,01","0,0005","0,001",0,"2,77","0,0001","0,003","0,12",1,"0,13","0,0016",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Amanda, embouteillée, non gazeuse, fortement minéralisée (St0Amand, 59)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01",24,"0,0005","0,04",0,"6,6","0,0004","0,003","0,61",1,"5,5","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Appollinaris, embouteillée, non gazeuse, fortement minéralisée (Allemagne)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,017",9,0,0,0,11,0,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Arcens, embouteillée, gazeuse, moyennement minéralisée (Arcens, 07)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,004","0,9","0,0005","0,0006",0,"1,6","0,015","0,003","0,53",1,"25,2","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Ardesy, embouteillée, gazeuse, fortement minéralisée (Ardes, 63)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,064",17,"0,0005","0,0006",0,"9,2","0,039","0,003",13,1,65,"0,001",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Avra, embouteillée, non gazeuse, faiblement minéralisée (Grèce)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0013","11,1",0,0,0,1,0,0,"0,07",0,"8,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Badoit, embouteillée, gazeuse, moyennement minéralisée (St0Galmier, 42)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0089","15,3","0,0023","0,001",0,8,"0,0015","0,003","1,1",10,18,"0,01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Beckerich, embouteillée, non gazeuse, faiblement minéralisée (Luxembourg)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00075","9,7",0,0,0,"0,5",0,0,"0,06",0,"0,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Biovive, embouteillée, non gazeuse, faiblement minéralisée (Dax, 40)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0028","4,2",0,0,0,"0,38",0,0,"0,24",0,"1,86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Carola, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (Ribeauville, 68)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,3",0,0,0,2,0,0,0,0,"13,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Celtic, embouteillée, gazeuse ou non gazeuse, très faiblement minéralisée (Niederbronn, 67)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00028","1,05","0,0005","0,001",0,"0,4","0,0001","0,003","0,19",1,"0,11","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Chambon, embouteillée, non gazeuse, faiblement minéralisée (Chambon, 45)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0027","9,6","0,0005","0,001",0,"0,61","0,0001","0,003","0,37",1,"1,06","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Chantemerle, embouteillée, non gazeuse, faiblement minéralisée (Le Pestrin, 07)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00028","2,62","0,0016","0,001",0,"0,96","0,06","0,003","0,13",1,"1,34","0,007",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Chateauneuf, embouteillée, gazeuse, fortement minéralisée (Chateauneuf, 63)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,038","11,9","0,0005","0,001",0,3,"0,004","0,003","4,4",1,"70,3","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Chateldon, embouteillée, gazeuse, fortement minéralisée (Chateldon, 63)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0012",34,"0,0005","0,001",0,"4,9","0,1","0,003","4,1",1,24,"0,004",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Chaudfontaine, embouteillée, non gazeuse, faiblement minéralisée (Belgique)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0058","6,5",0,0,0,"1,8",0,0,"0,25",0,"4,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Christinen Brunnen, embouteillée, non gazeuse, moyennement minéralisée (Allemagne)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,047","3,3",0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Cilaos, embouteillée, gazeuse, fortement minéralisée (Cilaos, 974)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0005","11,1",0,0,0,"7,05",0,0,"0,53",0,"23,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Clos de l'Abbaye, embouteillée, non gazeuse, moyennement minéralisée (St0Amand, 59)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,006","16,4","0,0005","0,0005",0,"4,15","0,0013","0,003","0,36",1,"2,94","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Contrex, embouteillée, non gazeuse, fortement minéralisée (Contrexéville, 88)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0013","46,8","0,0042","0,0005",0,"7,45","0,0015","0,003","0,28",10,"0,94","0,0095",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Courmayeur, embouteillée, non gazeuse, fortement minéralisée (Italie)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00025","51,7",0,0,0,"6,7",0,0,"0,2",0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Dax, embouteillée, non gazeuse, moyennement minéralisée (Dax, 40)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Didier, embouteillée non gazeuse, fortement minéralisée (Martinique)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0041","17,2","0,0005","0,001",0,"10,7","0,016","0,003","1,31",1,13,"0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Didier, embouteillée, gazeuse, fortement minéralisée (Martinique)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,032","13,7","0,0005","0,0005",0,"11,3","0,026","0,003","1,4",1,"12,6","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Eden (La Goa), embouteillée, non gazeuse, faiblement minéralisée (Suisse)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,45",0,0,0,"0,31",0,0,"0,07",0,"0,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Evian, embouteillée, non gazeuse, faiblement minéralisée (Evian, 74)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0011",8,"0,002","0,0083",0,"2,6","0,0005","0,003","0,1",1,"0,65","0,005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Hépar, embouteillée, non gazeuse, fortement minéralisée (Vittel, 88)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0031","54,9","0,0023","0,001",0,"11,9","0,0015","0,003","0,41",10,"1,42","0,01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Hydroxydase, embouteillée, gazeuse, fortement minéralisée (Le Breuil sur Couze, 63)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,058","20,1","0,0005","0,018",0,24,"0,07","0,003","18,2",1,184,"0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale La Cairolle, embouteillée, non gazeuse, fortement minéralisée (Les Aires, 34)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0021",34,0,0,0,4,0,0,"1,25",0,"2,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale La Française, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,16","35,4",0,0,0,"8,3",0,0,"2,2",0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Levissima, embouteillée, non gazeuse, faiblement minéralisée (Italie)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00005",2,0,0,0,"0,2",0,0,"0,2",0,"0,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Luchon, embouteillée, non gazeuse, faiblement minéralisée (Luchon, 31)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0002","2,65","0,0005","0,001",0,"0,1","0,0001","0,003","0,02",1,"0,08","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Luso, embouteillée, non gazeuse, très faiblement minéralisée (Portugal)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0015","0,1",0,0,0,"0,2",0,0,0,0,"0,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Mont0Blanc, embouteillée, non gazeuse, faiblement minéralisée (Italie)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,9",0,0,0,"0,24",0,0,"0,19",0,"0,16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Mont0Roucous, embouteillée, très faiblement minéralisée (Lacaune, 81)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0005","0,24","0,0005","0,001",0,"0,05","0,0001","0,003","0,04",1,"0,31","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Montcalm, embouteillée, non gazeuse, très faiblement minéralisée (Auzat, 09)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000099","0,3",0,0,0,"0,07",0,0,"0,06",0,"0,22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Montclar, embouteillée, non gazeuse, faiblement minéralisée (Montclar, 04)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0005","4,1",0,0,0,"0,3",0,0,0,0,"0,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Néro, embouteillée, non gazeuse, faiblement minéralisée (Grèce)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01","5,9",0,0,0,"3,5",0,0,"0,2",0,"4,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Nessel, embouteillée, gazeuse, moyennement minéralisée (Soultzmatt, 68)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0068","11,4",0,0,0,"5,42",0,0,4,0,"23,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Ogeu, embouteillée, gazeuse, faiblement minéralisée (Ogeu0les0Bains, 64)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0078","4,8",0,0,0,"1,2",0,0,"0,1",0,"3,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Ogeu, embouteillée, non gazeuse, faiblement minéralisée (Ogeu0les0Bains, 64)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0038","4,9",0,0,0,"1,7",0,0,"0,1",0,"2,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Orée du bois, embouteillée, non gazeuse, moyennement minéralisée (St0Amand, 59)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01",24,"0,0005","0,0044",0,"6,12","0,0006","0,003","0,64",1,"4,92","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Orezza, embouteillée, gazeuse, moyennement minéralisée (Rapaggio, 20B)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0017","18,5","0,0005","0,035",0,"1,65","0,41","0,003","0,16","0,1","0,7","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Parot, embouteillée, gazeuse, moyennement minéralisée (St0Romain0le0Puy, 42)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,016",11,"0,0005","0,025",0,"9,4","0,031","0,003",11,1,101,"0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Penacova, embouteillée, non gazeuse, très faiblement minéralisée (Portugal)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0015","0,1",0,0,0,"0,1",0,0,0,0,"0,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Perrier, embouteillée, gazeuse, faiblement minéralisée (Vergèse, 30)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0024",16,"0,0023","0,001",0,"0,42","0,0015","0,003","0,1",10,"0,95","0,011",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Plancoet, embouteillée, gazeuse ou non gazeuse, faiblement minéralisée (Plancoet, 22)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0059","2,3","0,0005","0,001",0,"1,4","0,0018","0,003","0,45",1,"3,1","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Prince Noir, embouteillée, non gazeuse, fortement minéralisée (St0Antonin0Noble0Val, 82)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0015","52,8",0,0,0,"7,8",0,0,"0,3",0,"0,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Propiac, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Puits St0Georges, embouteillée, gazeuse, moyennement minéralisée (St0Romain0le0Puy, 42)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0063","4,5","0,0005","0,0032",0,"3,3","0,025","0,003","1,8",1,43,"0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Quézac, embouteillée, gazeuse, moyennement minéralisée (Quézac, 48)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,003",17,"0,0005","0,001",0,"6,9","0,18","0,003","3,8",1,11,"0,0007",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Reine des basaltes, embouteillée, gazeuse, moyennement minéralisée (Asperjoc, 07)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0019","12,5","0,003","0,001",0,"6,45","0,074","0,003","2,57",1,"24,6","0,0021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Rozana, embouteillée, gazeuse, fortement minéralisée (Beauregard, 63)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,11","30,1","0,0011","0,001",0,16,"0,0011","0,003","5,2",1,"49,3","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Sail0les0Bains, embouteillée, non gazeuse, faiblement minéralisée (Sail0les0Bains, 42)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0057","2,1","0,0005","0,001",0,"0,2","0,0004","0,003","0,48",1,"8,5","0,0007",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Salvetat, embouteillée, gazeuse, moyennement minéralisée (La Salvetat, 34)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00086",21,"0,0005","0,001",0,"0,95","0,08","0,003","0,23",1,"0,7","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale San Bernardo, embouteillée, très faiblement minéralisée (Italie)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000083","1,1",0,0,0,"0,05",0,0,"0,04",0,"0,05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale San Pellegrino, embouteillée, gazeuse, moyennement minéralisée (Italie)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,011","20,8",0,0,0,"5,1",0,0,"0,3",0,"4,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Spa0Reine, embouteillée, gazeuse ou non non gazeuse, moyennement minéralisée (Belgique)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00075","0,45",0,0,0,"0,13",0,0,"0,05",0,"0,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale St0Alban, embouteillée, gazeuse, moyennement minéralisée (St0Alban, 42)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0033",18,"0,0006","0,002",0,5,"0,072","0,003","2,8",1,25,"0,001",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale St0Amand, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (St0Amand, 59)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0061","17,6","0,0005","0,0008",0,"4,6","0,0006","0,003","0,5",1,"2,8","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale St0Antonin, embouteillée, non gazeuse, fortement minéralisée (St0Antonin0Noble0Val, 82)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0015","56,8","0,0005","0,009",0,"8,9","0,0003","0,003","0,3",1,"0,79","0,0008",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale St0Diéry, embouteillée, gazeuse, fortement minéralisée (St0Diéry, 63)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,019","8,5","0,0005","0,001",0,8,"0,019","0,003","6,5",1,"7,7","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale St0Géron, embouteillée, gazeuse, moyennement minéralisée (St0Géron, 43)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0073","7,91",0,0,0,"5,37",0,0,"1,84",0,"25,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale St0Michel0de0Mourcairol, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0036",23,0,0,0,10,0,0,"5,5",0,"17,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale St0Yorre, embouteillée, gazeuse, fortement minéralisée (Saint0Yorre, 03)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,053",9,"0,0005","0,0015",0,"1,1","0,0013","0,003",11,1,171,"0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Ste0Marguerite, embouteillée, gazeuse, moyennement minéralisée (St0Maurice, 63)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,038","7,1","0,0019","0,001",0,4,"0,0001","0,003","3,3",1,"30,2","0,0012",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Thonon, embouteillée, non gazeuse, faiblement minéralisée (Thonon, 74)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0014","9,2","0,0005","0,001",0,"1,9","0,0001","0,003","0,1",1,"0,57","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Treignac, embouteillée, non gazeuse, très faiblement minéralisée (Treignac, 19)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00053","0,12",0,0,0,0,0,0,"0,05",0,"0,28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Vals, embouteillée, gazeuse, moyennement minéralisée (Vals0les0Bains, 07)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0041","2,22","0,0005","0,001",0,"1,35","0,06","0,0023","3,38",1,"38,1","0,0031",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Valvert, embouteillée, non gazeuse, faiblement minéralisée (Belgique)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00049","6,78",0,0,0,"0,2",0,0,"0,045",0,"0,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Vauban, embouteillée, non gazeuse, moyennement minéralisée (St0Amand0les0Eaux, 59)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0096",23,0,0,0,"6,6",0,0,"0,8",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Ventadour, embouteillée, gazeuse, faiblement minéralisée (Le Pestrin, 07)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00033","4,5","0,0027","0,001",0,"1,05","0,04","0,003","0,21",1,"1,34","0,006",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Vernet, embouteillée, gazeuse, faiblement minéralisée (Prades, 07)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00086","3,2","0,0005","0,001",0,"1,7","0,05","0,003","2,2",1,"12,9","0,004",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Vernière, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0023",18,"0,0005","0,001",0,"7,3","0,04","0,003",4,1,11,"0,016",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Vichy Célestins, embouteillée, gazeuse, fortement minéralisée (Saint0Yorre, 03)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,039","10,3","0,0005","0,001",0,1,"0,0014","0,003","6,6",1,117,"0,0008",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Vittel, embouteillée, non gazeuse, moyennement minéralisée (Vittel, 88)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0013",24,"0,0023","0,001",0,"4,2","0,0015","0,003","0,19",10,"0,52","0,02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Volvic active, embouteillée, gazeuse, faiblement minéralisée (Volvic, 63)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0019","1,07","0,0005","0,001",0,"0,75","0,0001","0,02","0,58",1,"1,17","0,0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Volvic, embouteillée, non gazeuse, faiblement minéralisée (Volvic, 63)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0025","1,2","0,0023","0,001",0,"0,8","0,0015","0,02","0,6",10,"1,2","0,01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale Wattwiller, embouteillée, gazeuse ou non gazeuse, faiblement minéraliséee (Wattwiller, 68)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00075","3,5","0,0005","0,001",0,"1,1","0,005","0,003","0,11",1,"0,3","0,011",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale, embouteillée, faiblement minéralisée (aliment moyen)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0019","6,54","0,0012","0,0033",0,"1,64","0,00069","0,0061","0,22","2,23","0,92","0,0047",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eau minérale, gazeuse (aliment moyen)",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,011","15,9","0,00057","0,00058",0,"3,78","0,033","0,0014","1,49","1,84","16,3","0,0036",0,0,0,0,0,0,0,0,0,0,0,0,0,0
