ciqual_code,nom,Énergie_kcal_100g,Lipides_g_100g,AG_saturés_g_100g,Acide_oléique_W9_g_100g,Acide_linoléique_W6_LA_g_100g,Acide_alpha-linolénique_W3_ALA_g_100g,EPA_g_100g,DHA_g_100g,Cholestérol_mg_100g,Glucides_g_100g,Sucres_g_100g,Fibres_g_100g,Protéines_g_100g,Sel_g_100g,Calcium_mg_100g,Cuivre_mg_100g,Fer_mg_100g,Iode_µg_100g,Magnésium_mg_100g,Manganèse_mg_100g,Phosphore_mg_100g,Potassium_mg_100g,Sélénium_µg_100g,Sodium_mg_100g,Zinc_mg_100g,Rétinol_µg_100g,Beta-Carotène_µg_100g,Vitamine_D_µg_100g,Vitamine_E_mg_100g,Vitamine_K1_µg_100g,Vitamine_K2_µg_100g,Vitamine_C_mg_100g,Vitamine_B1_mg_100g,Vitamine_B2_mg_100g,Vitamine_B3_mg_100g,Vitamine_B5_mg_100g,Vitamine_B6_mg_100g,Vitamine_B9_µg_100g,Vitamine_B12_µg_100g,Eau_g_100g,Fructose_g_100g,Galactose_g_100g,Glucose_g_100g,Lactose_g_100g,Maltose_g_100g,Saccharose_g_100g,Amidon_g_100g,Polyols_g_100g,Alcool_g_100g
13717,"Ananas au jus d'ananas, appertisé, non égoutté",55.0,0.5,,,,,0.0,0.0,0.0,12.9,12.6,0.92,0.25,0.00049,10.3,0.033,0.19,20.0,11.7,1.13,7.14,127.0,20.0,0.2,0.11,0.0,15.9,0.0,0.01,0.8,,4.98,0.063,0.01,1.44,0.061,0.064,5.0,0.0,84.9,3.85,,4.03,0.2,0.2,4.71,,,0.0
13718,"Ananas au sirop léger, appertisé, égoutté",65.8,0.5,,,,,0.0,0.0,0.0,15.3,15.3,1.6,0.25,0.0048,6.4,0.04,0.13,20.0,11.0,1.2,4.8,95.0,20.0,1.9,0.05,0.0,19.7,,,0.8,,5.22,0.034,0.01,0.1,0.04,0.046,,,82.0,5.66,,5.56,0.2,0.2,4.05,,,0.0
13719,"Ananas au sirop léger, appertisé, non égoutté",66.5,0.078,0.009,,,,0.0,0.0,0.0,15.6,15.6,1.01,0.25,0.0047,5.77,0.033,0.12,20.0,11.4,1.16,4.06,101.0,20.0,1.86,0.031,0.0,12.4,0.0,0.01,0.8,,5.11,0.037,0.01,0.1,0.03,0.029,5.0,0.0,82.4,5.71,,5.72,0.2,0.2,4.14,,,0.0
13201,"Ananas Victoria ou Queen Victoria, chair sans peau, crue, prélevé à La Réunion",69.8,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.0,15.1,14.9,2.4,0.94,0.013,6.3,0.07,0.17,20.0,15.0,0.2,9.6,130.0,20.0,5.0,0.11,0.0,21.2,,,0.8,,18.3,0.084,0.022,0.23,0.19,0.055,,,81.3,2.8,0.2,2.5,0.2,0.2,9.6,0.35,0.0,0.0
13002,"Ananas, chair sans peau, cru",51.6,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0,11.7,10.5,1.2,0.25,0.013,8.0,0.06,0.17,20.0,15.0,0.84,8.1,140.0,20.0,5.0,0.08,0.0,66.9,0.0,0.02,0.8,,46.1,0.056,0.033,0.31,0.17,0.052,18.0,0.0,85.5,2.3,0.0,1.8,0.2,0.2,6.4,0.35,0.5,0.0
13402,"Ananas, chair sans peau, cru , prélevé à la Martinique",2.2,0.0,,,,,0.0,0.0,0.0,,,,0.56,,,,,,,0.927,,,,,,0.0,,,,,,38.3,,,,,,,,83.4,,,,,,,,,0.0
26079,"Anchois, cru",129.0,6.07,1.64,0.89,0.17,0.073,0.48,0.93,124.0,0.0,0.0,0.0,18.6,0.18,86.5,0.38,2.63,55.0,22.3,0.23,162.0,294.0,21.3,73.0,1.86,65.7,0.0,11.0,0.57,0.1,,0.0,0.061,0.32,12.7,0.65,0.14,9.0,0.62,71.8,,,,,,,0.0,0.0,0.0
26000,"Anchois, filets, marinés à l'huile, semi-conserve, égouttés",167.0,9.08,1.69,,,,0.763,,,0.47,0.0,0.5,20.6,2.52,,,,,,,,,68.1,1008.0,,,0.0,1.7,3.33,12.1,,,,,,,,13.0,0.88,,0.3,,0.3,0.3,0.3,0.3,0.0,0.0,0.0
26692,"Anchois, filets, marinés à l'orientale (huile, piments…), semi-conserve, égouttés",165.0,9.19,1.62,0.57,0.33,0.026,0.35,0.54,105.0,0.48,,1.09,19.6,2.4,120.0,0.17,2.8,8.0,102.0,0.14,148.0,159.0,46.0,2230.0,1.95,11.0,,2.4,1.1,,,,0.04,0.2,2.75,0.41,0.18,37.0,15.3,60.2,,,,,,,,0.0,0.0
26700,"Anchois, filets, marinés, semi-conserve, égouttés (aliment moyen)",186.0,11.3,2.01,1.8,0.87,0.061,0.29,0.58,96.6,0.48,,0.73,20.3,4.15,141.0,0.19,2.46,11.6,120.0,0.11,146.0,177.0,40.9,3070.0,1.93,9.71,,2.38,,,,,0.031,0.23,2.93,0.36,0.16,,12.8,54.5,,,,,,,,0.0,0.0
25999,"Anchois, filets, roulés aux câpres, salés, à l'huile, semi-conserve, égouttés",195.0,10.6,1.5,,3.78,0.028,0.0073,0.026,,1.56,,0.98,22.9,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
26694,"Anchois, filets, salés, à l'huile d'olive, semi-conserve, égouttés",197.0,9.9,1.67,,,,0.763,,,1.36,,1.1,25.0,13.6,,,,,,,,,68.1,,,,0.0,1.7,3.33,12.1,,,,,,,,13.0,0.88,,,,,,,,,0.0,0.0
26693,"Anchois, filets, salés, à l'huile de tournesol, semi-conserve, égouttés",211.0,12.3,1.58,,,,0.763,,,0.54,,1.5,24.5,15.2,,,,,,,,,68.1,,,,0.0,1.7,3.33,12.1,,,,,,,,13.0,0.88,,,,,,,,,0.0,0.0
26177,"Anchois, filets, salés, à l'huile, semi-conserve, égouttés",199.0,11.0,1.64,,,,0.763,,70.0,0.0,0.0,0.0,24.9,14.4,,,6.9,,,,481.0,215.0,,3600.0,1.7,55.0,0.0,4.6,0.29,,,0.0,0.06,0.26,14.0,,0.14,8.0,,,,,,,,,0.0,0.0,0.0
8500,Andouille,211.0,15.1,,,,,0.0,,,0.3,,0.0,18.4,2.08,,,,2.0,,,,,18.3,820.0,,,0.0,1.1,0.25,0.0,,,,,,,,1.0,0.66,60.5,,,,,,,,0.0,0.0
8501,Andouille de Guéméné,234.0,18.0,,,,,0.0,,,0.0,,0.0,18.0,,,,,,,,,,18.3,,,,0.0,1.1,0.25,0.0,,,,,,,,1.0,0.66,,,,,,,,,0.0,0.0
8512,Andouille de Vire,238.0,18.0,,,,,0.0,,,0.0,,0.0,19.0,,,,,,,,,,18.3,,,,0.0,1.1,0.25,0.0,,,,,,,,1.0,0.66,,,,,,,,,0.0,0.0
8504,"Andouille, réchauffée à la poêle",270.0,20.0,9.29,7.25,1.37,0.087,0.0,,330.0,0.0,0.2,1.0,22.5,2.82,18.0,0.2,2.4,24.0,12.2,0.1,150.0,104.0,24.0,1130.0,3.4,11.0,16.0,0.5,0.25,0.0,,1.0,0.056,0.28,1.55,0.48,0.12,20.0,1.35,55.5,,,,,,,1.0,0.0,0.0
8552,"Andouillette de Troyes, à cuire",256.0,19.0,7.91,,1.75,0.12,0.0,,310.0,1.0,0.5,0.9,19.7,1.97,26.1,0.2,2.8,,9.4,0.2,110.0,58.4,22.0,830.0,2.6,,,0.25,0.55,,,,0.02,,0.8,,0.1,2.0,0.5,59.9,,,,,,,,0.0,0.0
8550,"Andouillette, à cuire",225.0,16.3,6.94,,1.26,0.12,0.0,,284.0,0.5,0.5,0.71,18.8,1.46,34.1,0.28,1.67,2.0,12.5,0.16,112.0,55.6,18.3,584.0,2.6,,0.0,0.25,0.39,,,,0.028,0.15,0.81,,0.1,1.2,0.49,63.0,,,,,,,0.33,0.0,0.0
